,title,author,publisher,publistDate,ISBN,pages,genre,description,book_img_url,stock,totalQuantity
0,세이노의 가르침,세이노(SayNo),데이원,2023년 03월 02일,9791168473690,736,자기계발,"재야의 명저 『세이노의 가르침』 2023년판 정식 출간!
순자산 천억 원대 자산가, 세이노의 ‘요즘 생각’을 만나다

2000년부터 발표된 그의 주옥같은 글들. 독자들이 자발적으로 만든 제본서는 물론, 전자책과 앱까지 나왔던 『세이노의 가르침』이 드디어 전국 서점에서 독자들을 마주한다. 여러 판본을 모으고 저자의 확인을 거쳐 최근 생각을 추가로 수록하였다. 정식 출간본에만 추가로 수록된 글들은 목차와 본문에 별도 표시하였다. 더 많은 사람이 이 책을 보고 힘을 얻길 바라기에 인세도 안 받는 저자의  마음을 담아, 700쪽이 넘는 분량에도 7천 원 안팎에 책을 구매할 수 있도록 했다. 정식 출간 전자책 또한 무료로 선보인다.

*필명 ‘세이노(Say No)’는 당신이 믿고 있는 것들에 ‘No!’를 외치고 제대로 살아가라는 뜻이다. 세이노는 지난 20여 년간 여러 칼럼을 통해 인생 선배로서 부와 성공에 대한 지혜와 함께 삶에 대한 체험적 지식을 나누어 주었다. 그래서 그의 글을 좋아하는 사람들은 그를 ‘세이노 스승님’이라 부른다.

                                                ",117014613.jpg,0,0
1,해커스 토익 기출 VOCA (보카),David Cho,해커스어학연구소,2023년 07월 24일,9788965422785,556,국어 외국어 사...,"토익 기출 보카 30일 완성!

주제별 연상암기로 쉽고 재미있게 단어 학습이 가능하며 최신 기출 단어 및 출제포인트 수록했다. 목표 점수대별 필수 단어로 맞춤 학습을 할 수 있으며 출제율 높은 핵심 단어만 골라 효율적으로 학습할 수 있다. 토익 신유형 대비 [토익 필수 이디엄 표현]을 수록했고 실전 감각을 키우는 토익 실전문제 13회분을 제공(교재 3회+온라인 10회)한다. 

                                                ",67362730.jpg,0,0
3,최소한의 한국사,최태성,프런트페이지,2023년 06월 21일,9791198243430,352,역사,"대한민국 대표 역사 강사 최태성의5천 년 역사가 단숨에 이해되는 핵심 한국사‘외워야 할 것 많고 어려운 한국사, 쉽고 빠르고 재미있게 핵심 내용만 알 수 없을까?’ 많은 사람이 역사 공부에 앞서 품는 이 질문에 답하기 위해 대한민국 대표 역사 강사 최태성이 나섰다. 한국사 교과서 저자이자 누적 수강생 700만 명에 이르는 한국사 1등 강사로서 복잡하고 어려운 말 없이 우리 역사에서 반드시 알아야 할 핵심 한국사를 엄선해 한 권에 담았다. 고조선이 건국된 기원전 2333년부터 6·15 남북공동선언이 발표된 2000년까지, 반만년 역사가 단숨에 이해되는 한국사 입문서『최소한의 한국사』다.단 한 권으로 한국사의 맥락을 파악할 수 있도록 이 책은 중요한 사건, 인물, 문화유산을 두루 다루며 한국사의 주요 장면을 조명하고 역사의 큰 흐름을 잡는다. 시험에 나오기 때문에 중요한 이야기가 아니라 우리의 현재와 미래를 이해하기 위해 필요한 이야기를 담았기 때문에 교양으로서 역사를 공부하고 싶은 사람들에게 친절한 안내서가 되어줄 것이다. 이제 연도와 사건을 외워야 한다는 부담감은 내려놓고 재미와 의미로 가득한 5천 년 우리 역사를 이해하기 위한 최소한의 지식,『최소한의 한국사』 속으로 떠나보자.                                 ",119458052.jpg,0,0
4,당신의 인생이 왜 힘들지 않아야 한다고 생각하십니까,아르투어 쇼펜하우어,포레스트북스,2023년 06월 21일,9791192625553,264,인문,"* 20주 연속 철학 1위! 10만 부 돌파 기념 스페셜 에디션!* 조선, 동아, 한겨레, 서울, 한국에 소개된 책!* 서울대 학생이 많이 읽은 도서 20 선정!온전하고 자유로운 삶을 위한쇼펜하우어의 독한 가르침“인간의 불행 중 상당수는혼자 있을 수 없어서 생기는 일이다”쇼펜하우어는 니체의 철학, 헤세와 카프카의 문학, 프로이트와 융의 심리학에 지대한 영향을 끼친, 19세기 서양 철학계의 상징적인 인물이다. 그는 “인생은 의미가 없다. 그러므로 태어나지 않는 것이 최선이고, 태어났다면 최대한 빨리 죽는 것이 차선이다.”라고 말해 흔히 염세주의자로 알려졌지만, 그 어떤 철학자, 작가보다 치열하게 살았다. 이 책은 『당신의 인생이 왜 힘들지 않아야 한다고 생각하십니까』가 출간 6개월 만에 독자들의 사랑을 받으며 10만 부 돌파 베스트셀러가 된 것을 기념해 펴낸 스페셜 에디션이다. 쇼펜하우어가 세상을 떠난 지 150년의 세월이 흘렀지만, 우리가 오늘날까지 쇼펜하우어를 기억하고 그가 남긴 저서에서 인생의 해답을 찾으려는 이유가 뭘까? 그것은 쇼펜하우어가 인생 그 자체를 텍스트 삼아 삶의 고통을 철학으로 승화시켰기 때문이다. 인생은 고통이며, 고통은 집착에서 비롯되고, 따라서 집착을 버림으로써 우리는 고통의 소멸에 이를 수 있다는 ‘비관에 대한 비관’을 제시했기 때문이다. 그래서 그의 철학은 행복해지고 싶어서 결국 불행해져 버린 현대인들에게 시사하는 바가 크다.쇼펜하우어는 일평생 열한 권의 책을 썼고, 그중 생전에 출판된 저서는 여덟 권이다. 괴테를 비롯한 수많은 사람과 편지를 주고받았고, 1만 페이지가 넘는 일기를 거의 하루도 빼놓지 않고 썼다. 『당신의 인생이 왜 힘들지 않아야 한다고 생각하십니까』는 그의 도서들과 편지, 일기 등에서 쇼펜하우어의 삶에 대한 통찰과 정곡을 찌르는 인생 조언을 모아 엮은 책이다. 쇼펜하우어를 알고 있는 사람도, 알지 못했던 사람도 이 책을 읽게 되는 순간, 옛 철학자의 독설 안에 감춰진 열망과 투지를 느낄 수 있을 것이다.                                ",119562091.jpg,0,0
6,아홉 살에 시작하는 똑똑한 초등신문,신효원,책장속북스,2023년 05월 05일,9791191836219,243,어린이,"신문 읽기를 처음 시작하는 아홉 살부터 세상을 보는 눈을 넓히는 열세 살까지!이 책은 2022년 6월부터 2023년 3월까지 경제, 사회, 세계, 과학, 환경 분야에서 우리가 눈여겨보아야 할 주제의 기사들을 골라 아이들의 눈높이로 재구성한 ‘초등학생에게 최적화된 신문’이다. 한국어 교육 전문가인 저자는 선별한 100개의 최신 기사 텍스트에서 낯선 시사 어휘를 어린이가 이해할 수 있는 고급 어휘로 다듬었으며 이는 어른이 활용하기에도 완벽한 문장으로 구성했다. 이는 아이들이 재미있게 신문을 읽고 내용을 파악하며, 고급 어휘력도 키울 수 있도록 유도한다. 또한 수록된 100개 기사는 오락처럼 소비되고 휘발되어 버릴 기사가 아닌, 향후 몇 년간 지속적으로 거론되며 새로운 현상과 발견으로 뻗어나가는 데 주축이 될 기사들로 초등학생이라면 꼭 알아야 하는 것들이다. 더불어 이 책은 기사를 읽은 후 핵심어 빈칸 문제, O.X 문제를 통해 기사의 내용을 다시 기억하고 정리할 수 있게 했다. 게다가 하단의 토론하기 질문은 생각할 거리를 주고, 아이의 사고를 확장하게 한다. 이 책을 읽어나가다 보면 아이들은 자연스레 경제, 사회, 세계, 과학, 환경의 각 현상들을 연결 지어 조감의 시선으로 세상을 바라보게 될 것이다.의외로 아이는 신문을 재밌게 본다?신문 읽기의 문턱을 낮춘 『똑똑한 초등신문』한 장에 배경지식 설명, 기사 내용, O.X 문제, 신문어휘풀이, 토론 주제 등을 담백하게 담고 있는 이 책은 군더더기 없이 오롯이 텍스트 자체에 집중했다. 만화나 그림 속 캐릭터로 아이의 관심을 끌기보다는 신문 기사, 그리고 핵심 내용을 이해하고 파악하는 힘을 끌어내는 요소만으로 구성했기에, 아이는 어른처럼 신문을 읽는다는 긍정적 자존감을 형성하면서 기사에 더 집중하게 된다. 이는 곧, 사회 이슈를 나만의 방식으로 해석하는 힘을 길러 가며 신문 읽기에 흥미를 갖게 한다.이 책은 최신 주요 뉴스 100개를 담고 있어 원하는 날, 원하는 만큼 아이가 스스로 골라 읽을 수 있다는 장점이 있다. 경제, 사회, 세계, 과학, 환경 기사를 골라 읽으며 아이의 관심 분야를 찾아 더 깊이 있는 대화를 해 보는 것도 좋다. 게다가 아이의 시선에서 멀어진 기사도 하나씩 섞어 읽게끔 지도해 준다면, 기사 편식을 효과적으로 막을 수도 있다. 이렇듯 아이는 어느덧 각 분야의 최신 이슈를 골고루 습득하여 세상을 바라보는 시야를 넓히게 된다.                                ",118413014.jpg,0,0
7,역행자 확장판,자청,웅진지식하우스,2023년 05월 29일,9788901272580,400,자기계발,"한층 더 강력한 치트키,  독해진 팩트 폭격!50주 연속 베스트셀러·40만 독자의 삶을 바꾼  『역행자』가 확장판으로 돌아왔다“절대로 읽지 마라! 죽을 때까지 순리자로 살고 싶다면!”  95퍼센트의 인간은 타고난 유전자와 본성의 꼭두각시로 살아간다. 이들은 평생 돈, 시간, 운명에게 속박되어, 평범함을 벗어나지 못하고 불행하게 사는 ‘순리자’다. 그러나 5퍼센트의 인간은 다르다. 이들은 타고난 유전자의 본성을 역행해 돈, 시간, 운명으로부터 완전한 자유를 얻는다. 본성을 거슬러 행복을 쟁취하는 이들이 바로 ‘역행자’다. 운명과 본능의 지배에서 벗어나 경제적 자유와 행복을 쟁취하는 라이프해킹의 비밀을 담은 책, 『역행자』가 2022년 출간된 지 1년 만에 확장판으로 다시 돌아왔다. ‘무자본 연쇄창업마’로서 30대 초반에 자동화 수익을 완성한 자청, 그가 10년 동안 시행착오를 겪으며 찾아낸 ‘역행자 7단계’ 모델을 담은 『역행자』는 2022년 출간 즉시 ‘전 서점 종합 베스트셀러 1위 달성’, ‘1년 만에 40만 부 판매’라는 대기록을 세우며 대한민국에 ‘역행자 신드롬’을 불러일으켰다. 『역행자』 확장판은 더욱 묵직해진 팩트 폭격과 뼈 때리는 사례들, 저자의 비밀 노하우인 ‘무자본 창업 7단계 공식’ 등을 수록하며 초판에 비해 무려 100페이지 가량의 분량이 추가되었다. 저자의 생생한 육성을 그대로 담았을 뿐만 아니라 『역행자』를 만나 완전히 다른 인생을 살고 있는 독자들의 생생한 경험담을 수록하여 독자들로 하여금 역행자가 되지 않고는 버틸 수 없게 만든다. 한층 더 강력해진 『역행자』 확장판만 있다면, 당신도 저자와 함께 ‘돈, 시간, 운명’으로부터 완전한 자유를 얻게 될 것이다.* 이 책은 2022년 출간된 『역행자』의 개정증보판입니다.                                 ",119120517.jpg,0,0
8,이토록 공부가 재미있어지는 순간,박성혁,다산북스,2023년 08월 01일,9791130604626,368,청소년,"『이토록 공부가 재미있어지는 순간』 50만 부 돌파
우리들 에디션 출시!

★★★ 청소년 분야 최초 종합 베스트셀러 1위
★★★ 전국 서점 청소년 분야 최장기 스테디셀러 1위
★★★ 학교 선생님들이 직접 사서 읽어주는 공부법 바이블

“내 공부의 심장이 미친 듯 뛰기 시작했습니다!”

그 흔한 학원 하나 없는 깡촌 시골마을에서
내가 서울대 법대, 연세대 경영대, 동신대 한의대에 동시 합격한 비결

2015년 2월에 출간되어 약 8년 동안 ‘전국 서점 청소년 분야 스테디셀러 1위’, ‘청소년 분야 최초 종합 베스트셀러 1위’를 기록하며 50만 청소년들에게 꿈과 희망을 심어준 책이 있다. 대한민국 최고 수재들의 집합소 ‘민족사관고등학교’ 학생들이 ‘반복독(이 책 한 권을 닳을 때까지 반복해서 읽는 것)’ 한다고 하여 화제가 된 책, 강남 엄마들이 5권씩 사서 아이 손닿는 곳곳마다 덫을 놓듯 놓아둔다는 바로 그 책 『이토록 공부가 재미있어지는 순간』이다.

족집게 같은 공부법을 전하는 것도 아닌 이 책이 그토록 열광적인 인기를 누리며 50만 청소년들의 마음을 뒤흔들어놓은 비결은 무엇일까? 그 이유는 바로 이 책이 ‘공부의 본질’을 전하기 때문이다. 이 책의 저자는 아무리 좋은 공부법을 알아도, 국내에서 가장 유명한 강사의 수업을 들어도 ‘공부하고자 하는 단단한 마음’과 ‘공부의 재미’를 느끼지 못한다면 결코 성적을 올릴 수 없으리라 단언한다. 학원 하나 없는 전라남도 시골마을에서 자랐지만, 열악한 환경을 극복하고 오로지 ‘마음가짐’ 하나로 원하는 대학 모두에 합격한 자신의 이야기가 이를 뒷받침한다.

“이 책을 읽고 드는 생각은 딱 한 가지다. ‘내 아이에게 조금이라도 더 일찍 읽힐 걸.’ 지금이라도 이 책을 알게 되어 참 다행이다.” _나나랜드 님

“중학생 아들 입에서 ‘왜 공부해야 하는지 알겠다’라는 말이 튀어나온 순간, 왜 이 책이 엄청나게 유명한지 그 이유를 깨달았다.” _싱클레어 님

“민사고 학부형 추천으로 아이에게 이 책을 읽히고 있다. ‘공부 잘하는 아이들의 마음가짐이란 이런 것이구나!’ 엄마인 나조차도 놀랍다.” _mj**447 님

“공부해라, 공부해라, 공부해라! 이 100번의 잔소리보다 더 강력하게 설득되는 책이다.” _피터* 님

98.4%의 중·고등학교 학생들이 “공부하고 싶어졌다”라고 응답한 것처럼 이 책의 효과는 실로 놀랍다. “별점 1개를 주고 싶다. 내 아이 말고 아무도 읽지 못하도록”이라고 말한 어느 학부모의 말처럼 이미 발 빠른 부모들은 비밀스럽게 이 책을 아이 책상 위에 슬며시 놓아두고 있다. 당신의 아이는 지금 즐겁게 공부하고 있는가, 아니면 억지로 공부하고 있는가? 한 가지 확실한 사실은 ‘오늘 바로 읽힐수록 아이의 인생이 한 걸음 더 빨리 달라진다는 것’이다. 

                                                ",16384156.jpg,0,0
9,긴긴밤,루리,문학동네,2021년 02월 03일,9788954677158,144,어린이,"제21회 문학동네어린이문학상 대상 수상작 『긴긴밤』
세상에 마지막 하나 남은 흰바위코뿔소와 
코뿔소 품에서 태어난 어린 펭귄.
그땐 기적인 줄 몰랐다, 머리부터 발끝까지 모든 것이 다른 우리에게 서로밖에 없다는 게.

세상에 마지막 하나 남은 코뿔소가 된다면, 소중한 이를 다 잃고도 ‘마지막 하나 남은 존재’의 무게를 온 영혼으로 감당해야 한다면 어떠할까? 친구의 마지막 부탁을 들어주기 위해, 어린 생명이 마땅히 있어야 할 안전한 곳을 찾아 주기 위해 본 적도 없는 바다를 향해 가는 마음은 어떤 것일까? 

이 책은 지구상의 마지막 하나가 된 흰바위코뿔소 노든과 버려진 알에서 태어난 어린 펭귄이 수없는 긴긴밤을 함께하며, 바다를 찾아가는 이야기이다. 울퉁불퉁한 길 위에서 엉망인 발로도 다시 우뚝 일어설 수 있게 한 것은, 잠이 오지 않는 길고 컴컴한 밤을 기어이 밝힌 것은, “더러운 웅덩이에도 뜨는 별” 같은 의지이고, 사랑이고, 연대이다.

                                                ",97255028.jpg,0,0
11,데일 카네기 인간관계론 (무삭제 완역본),데일 카네기,현대지성,2019년 10월 07일,9791187142560,352,자기계발,"*종이책, 전자책, 오디오북 전 영역에서 국내 『데일 카네기 인간관계론』 번역서 중 압도적 1위! *카네기 사후 그의 유가족이 책을 개정하면서 삭제한 5~6부(글쓰기&결혼 생활의 비결)까지 온전히 담은 초판 완역본!사람의 마음을 사로잡는 가장 빠르고 확실한 방법!데일 카네기가 전하는, ‘성공하는 인간관계’의 비밀사람을 다루는 핵심 원리는 무엇일까? 어떻게 하면 호감 가는 사람이 될 수 있을까? 원하는 것을 얻어내는 가장 효과적인 방법은 무엇일까?  인간관계는 친구를 만들고 적을 만들지 않는 것에서 시작된다. 『데일 카네기 인간관계론』은 이런 인간관계의 핵심을 꿰뚫는다. “친구를 만들고, 사람을 설득하는 법”이라는 제목으로 1936년 출간된 데일 카네기의 책은 80년 넘도록 전 세계 수많은 사람에게 영향을 끼쳤다. 이후에 나온 모든 자기계발서가 이 책의 영향을 받았다고 해도 과언이 아니다. 세계적인 투자자 워런 버핏의 인생을 바꾼 책이자, 누구나 꼭 읽어야 할 책이기도 하다. 『데일 카네기 인간관계론』은 가장 단순하고 실용적인 원칙들로 복잡한 인간관계에 대한 우리의 고민을 명쾌하게 해결한다. 이 책은 1936년 출간된 초판을 완역해 원전의 맛을 살렸다. 데일 카네기가 그 당시 무엇을 보고 어떤 생각을 하며 이 책을 썼는지 이해할 수 있게 된 셈이다. 카네기의 생생한 말과 함께 시대를 초월하고 지역을 뛰어넘은 세계적인 베스트셀러를 만나보자.                                ",79297023.jpg,0,0
12,코스모스,칼 에드워드 세이건,사이언스북스,2006년 12월 20일,9788983711892,719,자연과학,"전 세계 60개국에 방송되어 6억 시청자를 감동시킨 텔레비전 교양 프로그램을 책으로 옮긴 칼 세이건(Carl Sagan)의 『코스모스(Cosmos)』. 현대 천문학을 대표하는 저명한 과학자인 칼 세이건은 이 책에서 사람들의 상상력을 사로잡고, 난해한 개념을 명쾌하게 해설하는 놀라운 능력을 마음껏 발휘한다. 그는 에라토스테네스, 데모크리토스, 히파티아, 케플러, 갈릴레오, 뉴턴, 다윈 같은 과학의 탐험가들이 개척해 놓은 길을 따라가며 과거, 현재, 미래의 과학이 이뤘고, 이루고 있으며, 앞으로 이룰 성과들을 알기 쉽게 풀이해 들려준다. 

이 책은 모두 13개장으로 구성되어 있다. 칼 세이건은 이 책에서 10조 개의 별들을 품고 있는 은하가 10조 개 있는 광막한 대우주의 세계에서 은하수 은하의 변방, 자그마한 노란색 별 태양이 이끄는 태양계의 한구석에서 창백하게 빛나는 지구에 이르기까지 코스모스에 대해 우리 인류가 알게 된 것들, 알게 된 과정들, 그리고 알아 갈 것들을 소개하고 그것이 궁극적으로 우리 자신을 알기 위한 것임을 설득력 있게 보여 준다. 코스모스 특별판은 수록 이미지가 흑백으로 실려 있다.

                                                ",2312211.jpg,0,0
